condition_id,chunk_size,strategy,question_id,category,chunk_size_sensitive,anchor_coverage_at_5,mean_reciprocal_rank_at_5
chunk500_hybrid,500,hybrid,ref_them_03,thematic,True,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_04,thematic,True,0.5,0.5
chunk500_hybrid,500,hybrid,ref_them_05,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_06,thematic,False,0.5,0.25
chunk500_hybrid,500,hybrid,ref_them_07,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_01,comparative,True,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_02,comparative,False,0.5,0.5
chunk500_hybrid,500,hybrid,ref_comp_03,comparative,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_04,comparative,True,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_06,comparative,False,0.5,0.5
chunk500_hybrid,500,hybrid,ref_fact_08,factual,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_fact_09,factual,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_fact_10,factual,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_fact_11,factual,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_fact_12,factual,True,0.0,0.0
chunk500_hybrid,500,hybrid,ref_fact_13,factual,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_fact_14,factual,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_08,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_09,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_10,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_11,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_12,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_13,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_14,thematic,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_them_15,thematic,True,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_07,comparative,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_08,comparative,False,0.5,0.5
chunk500_hybrid,500,hybrid,ref_comp_09,comparative,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_10,comparative,False,0.0,0.0
chunk500_hybrid,500,hybrid,ref_comp_11,comparative,False,0.5,0.1
chunk500_hybrid,500,hybrid,ref_comp_12,comparative,False,0.0,0.0
