model,condition_id,question_id,case,outcome,n_substantive_claims,n_offtarget_only_claims,flagged,offtarget_only_claims,newly_promoted
qwen3.8-27b@q8_k_xl,chunk500_hybrid,ref_them_04,C,answered_grounded_correct,3,2,True,190 -> USB_2024_Q4; 200 -> USB_2024_Q4,True
qwen3.8-27b@q8_k_xl,chunk500_hybrid,ref_them_06,C,answered_grounded_correct,5,2,True,57 -> FITB_2024_Q2; 100 -> STT_2023_Q4,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_comp_06,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_fact_01,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_fact_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_fact_03,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_fact_05,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_fact_09,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_fact_11,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_bm25_enriched,ref_them_02,C,answered_grounded_correct,3,1,True,90 -> GS_2024_Q2,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_comp_06,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_comp_11,C,answered_grounded_correct,4,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_01,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_03,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_04,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_05,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_07,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_09,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_10,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_11,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_12,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_fact_13,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_them_04,C,answered_grounded_correct,2,1,True,30 -> USB_2024_Q3,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_them_07,C,answered_grounded_correct,5,1,True,274 -> BAC_2023_Q2,False
qwen3.8-27b@q8_k_xl,chunk200_dense_enriched,ref_them_13,C,answered_grounded_correct,5,2,True,2.8 -> BK_2024_Q4; 60 -> BK_2024_Q4,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_comp_06,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_comp_07,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_comp_11,C,answered_grounded_correct,4,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_01,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_03,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_04,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_05,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_07,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_09,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_10,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_11,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_12,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_fact_13,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_them_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_them_04,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk200_hybrid_enriched,ref_them_13,C,answered_grounded_correct,2,2,True,2.8 -> BK_2024_Q4; 60 -> BK_2024_Q4,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_comp_06,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_fact_01,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_fact_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_fact_03,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_fact_05,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_fact_07,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_fact_13,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_bm25_enriched,ref_them_02,C,answered_grounded_correct,5,2,True,90 -> GS_2024_Q2; 15.5 -> MS_2023_Q2,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_comp_06,C,answered_grounded_correct,4,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_comp_11,C,answered_grounded_correct,4,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_01,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_03,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_04,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_07,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_09,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_10,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_11,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_12,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_fact_13,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_them_04,C,answered_grounded_correct,2,1,True,"30 -> BAC_2023_Q2,USB_2024_Q3",False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_them_05,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_dense_enriched,ref_them_07,C,answered_grounded_correct,5,4,True,"33 -> BAC_2023_Q2; 490 -> BAC_2023_Q2; 500 -> BAC_2023_Q2; 40 -> BAC_2023_Q2,PNC_2023_Q2",False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_comp_06,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_01,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_02,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_03,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_04,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_05,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_07,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_09,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_10,C,answered_grounded_correct,2,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_11,C,answered_grounded_correct,1,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_fact_13,C,answered_grounded_correct,3,0,False,,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_them_02,C,answered_grounded_correct,3,1,True,90 -> GS_2024_Q2,False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_them_04,C,answered_grounded_correct,4,3,True,"190 -> USB_2024_Q4; 200 -> MTB_2024_Q3,USB_2024_Q4; 150 -> MTB_2024_Q3",False
qwen3.8-27b@q8_k_xl,chunk500_hybrid_enriched,ref_them_07,C,answered_grounded_correct,4,0,False,,False
