model,question_id,condition_id,chunk_size,retrieval_strategy,indexing_representation,category,case,outcome,coverage_at_5,chunk_size_sensitive,bertscore_cosine
qwen3.8-27b@q4_k_xl,ref_them_01,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_02,chunk200_bm25,200,bm25,text_only,thematic,C,answered_grounded_correct,0.5,False,0.8241580724716187
qwen3.8-27b@q4_k_xl,ref_them_03,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_04,chunk200_bm25,200,bm25,text_only,thematic,C,answered_grounded_correct,0.5,True,0.7919994592666626
qwen3.8-27b@q4_k_xl,ref_them_05,chunk200_bm25,200,bm25,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_06,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_07,chunk200_bm25,200,bm25,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_08,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_09,chunk200_bm25,200,bm25,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_10,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_11,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_12,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_13,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_14,chunk200_bm25,200,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_15,chunk200_bm25,200,bm25,text_only,thematic,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_unans_01,chunk200_bm25,200,bm25,text_only,unanswerable,A,answered_ungrounded,,False,
qwen3.8-27b@q4_k_xl,ref_unans_02,chunk200_bm25,200,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_03,chunk200_bm25,200,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_05,chunk200_bm25,200,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_06,chunk200_bm25,200,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_comp_01,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_02,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_03,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_04,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_06,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_07,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_08,chunk200_dense,200,dense,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_09,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_10,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_11,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_12,chunk200_dense,200,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_01,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_02,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_03,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_04,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_05,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_06,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_07,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_08,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_09,chunk200_dense,200,dense,text_only,factual,C,answered_grounded_correct,1.0,False,0.9734025597572327
qwen3.8-27b@q4_k_xl,ref_fact_10,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_11,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_12,chunk200_dense,200,dense,text_only,factual,C,answered_grounded_correct,1.0,True,0.9789583086967468
qwen3.8-27b@q4_k_xl,ref_fact_13,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_14,chunk200_dense,200,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_01,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_02,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_03,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_04,chunk200_dense,200,dense,text_only,thematic,C,answered_grounded_correct,0.5,True,0.7716410160064697
qwen3.8-27b@q4_k_xl,ref_them_05,chunk200_dense,200,dense,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_06,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_07,chunk200_dense,200,dense,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_08,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_09,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_10,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_11,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_12,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_13,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_14,chunk200_dense,200,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_15,chunk200_dense,200,dense,text_only,thematic,C,answered_grounded_correct,0.3333333333333333,True,0.8876651525497437
qwen3.8-27b@q4_k_xl,ref_unans_01,chunk200_dense,200,dense,text_only,unanswerable,A,answered_grounded_offtarget,,False,
qwen3.8-27b@q4_k_xl,ref_unans_02,chunk200_dense,200,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_03,chunk200_dense,200,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_05,chunk200_dense,200,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_06,chunk200_dense,200,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_comp_01,chunk200_hybrid,200,hybrid,text_only,comparative,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_02,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_03,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_04,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_06,chunk200_hybrid,200,hybrid,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_07,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_08,chunk200_hybrid,200,hybrid,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_09,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_10,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_11,chunk200_hybrid,200,hybrid,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_12,chunk200_hybrid,200,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_01,chunk200_hybrid,200,hybrid,text_only,factual,C,answered_grounded_correct,1.0,True,0.9597574472427368
qwen3.8-27b@q4_k_xl,ref_fact_02,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_03,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_04,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_05,chunk200_hybrid,200,hybrid,text_only,factual,C,answered_grounded_correct,1.0,False,1.0000001192092896
qwen3.8-27b@q4_k_xl,ref_fact_06,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_07,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_08,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_09,chunk200_hybrid,200,hybrid,text_only,factual,C,answered_grounded_correct,1.0,False,0.9664744138717651
qwen3.8-27b@q4_k_xl,ref_fact_10,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_11,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_12,chunk200_hybrid,200,hybrid,text_only,factual,C,answered_grounded_correct,1.0,True,0.9789583086967468
qwen3.8-27b@q4_k_xl,ref_fact_13,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_14,chunk200_hybrid,200,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_01,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_02,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_03,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_04,chunk200_hybrid,200,hybrid,text_only,thematic,C,answered_grounded_correct,0.5,True,0.7695805430412292
qwen3.8-27b@q4_k_xl,ref_them_05,chunk200_hybrid,200,hybrid,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_06,chunk200_hybrid,200,hybrid,text_only,thematic,C,answered_grounded_correct,0.5,False,0.738608717918396
qwen3.8-27b@q4_k_xl,ref_them_07,chunk200_hybrid,200,hybrid,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_08,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_09,chunk200_hybrid,200,hybrid,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_10,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_11,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_12,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_ungrounded,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_13,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_14,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_15,chunk200_hybrid,200,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_unans_01,chunk200_hybrid,200,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_02,chunk200_hybrid,200,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_03,chunk200_hybrid,200,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_05,chunk200_hybrid,200,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_06,chunk200_hybrid,200,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_comp_01,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_02,chunk500_bm25,500,bm25,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_03,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_04,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_06,chunk500_bm25,500,bm25,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_07,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_08,chunk500_bm25,500,bm25,text_only,comparative,C,answered_grounded_correct,0.5,False,0.8877383470535278
qwen3.8-27b@q4_k_xl,ref_comp_09,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_10,chunk500_bm25,500,bm25,text_only,comparative,C,answered_grounded_correct,0.5,False,0.8781943321228027
qwen3.8-27b@q4_k_xl,ref_comp_11,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_12,chunk500_bm25,500,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_01,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_02,chunk500_bm25,500,bm25,text_only,factual,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_03,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_04,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_05,chunk500_bm25,500,bm25,text_only,factual,C,answered_grounded_correct,1.0,False,1.0000001192092896
qwen3.8-27b@q4_k_xl,ref_fact_06,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_07,chunk500_bm25,500,bm25,text_only,factual,C,answered_grounded_correct,1.0,False,0.9264767169952393
qwen3.8-27b@q4_k_xl,ref_fact_08,chunk500_bm25,500,bm25,text_only,factual,C,answered_grounded_correct,1.0,False,0.9802258014678955
qwen3.8-27b@q4_k_xl,ref_fact_09,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_10,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_11,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_12,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_13,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_14,chunk500_bm25,500,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_01,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_02,chunk500_bm25,500,bm25,text_only,thematic,C,answered_grounded_offtarget,0.5,False,0.8303177952766418
qwen3.8-27b@q4_k_xl,ref_them_03,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_04,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_05,chunk500_bm25,500,bm25,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_06,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_07,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_08,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_09,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_10,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_11,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_12,chunk500_bm25,500,bm25,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_13,chunk500_bm25,500,bm25,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_14,chunk500_bm25,500,bm25,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_15,chunk500_bm25,500,bm25,text_only,thematic,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_unans_01,chunk500_bm25,500,bm25,text_only,unanswerable,A,answered_ungrounded,,False,
qwen3.8-27b@q4_k_xl,ref_unans_02,chunk500_bm25,500,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_03,chunk500_bm25,500,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_05,chunk500_bm25,500,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_06,chunk500_bm25,500,bm25,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_comp_01,chunk500_dense,500,dense,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_02,chunk500_dense,500,dense,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_03,chunk500_dense,500,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_04,chunk500_dense,500,dense,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_06,chunk500_dense,500,dense,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_07,chunk500_dense,500,dense,text_only,comparative,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_08,chunk500_dense,500,dense,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_09,chunk500_dense,500,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_10,chunk500_dense,500,dense,text_only,comparative,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_11,chunk500_dense,500,dense,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_12,chunk500_dense,500,dense,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_01,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_02,chunk500_dense,500,dense,text_only,factual,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_03,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_04,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_05,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_06,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_07,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_08,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_09,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_10,chunk500_dense,500,dense,text_only,factual,C,answered_grounded_correct,1.0,False,0.9713050127029419
qwen3.8-27b@q4_k_xl,ref_fact_11,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_12,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_13,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_14,chunk500_dense,500,dense,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_01,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_02,chunk500_dense,500,dense,text_only,thematic,C,answered_grounded_correct,0.5,False,0.8446937203407288
qwen3.8-27b@q4_k_xl,ref_them_03,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_04,chunk500_dense,500,dense,text_only,thematic,C,answered_grounded_correct,0.5,True,0.7182656526565552
qwen3.8-27b@q4_k_xl,ref_them_05,chunk500_dense,500,dense,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_06,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_07,chunk500_dense,500,dense,text_only,thematic,C,answered_grounded_correct,0.5,False,0.6841710805892944
qwen3.8-27b@q4_k_xl,ref_them_08,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_09,chunk500_dense,500,dense,text_only,thematic,B,abstained,0.0,False,
