question_id,condition_id,chunk_size,retrieval_strategy,category,case,outcome,coverage_at_5,chunk_size_sensitive,bertscore_cosine
ref_comp_02,chunk500_bm25,500,bm25,comparative,C,abstained,0.5,False,
ref_comp_03,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,False,
ref_comp_04,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,True,
ref_comp_06,chunk500_bm25,500,bm25,comparative,C,abstained,0.5,False,
ref_comp_07,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,False,
ref_comp_08,chunk500_bm25,500,bm25,comparative,C,answered_grounded_correct,0.5,False,0.8877383470535278
ref_comp_09,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,False,
ref_comp_10,chunk500_bm25,500,bm25,comparative,C,answered_grounded_correct,0.5,False,0.8781943321228027
ref_comp_11,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,False,
ref_comp_12,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,False,
ref_fact_01,chunk500_bm25,500,bm25,factual,B,abstained,0.0,True,
ref_fact_02,chunk500_bm25,500,bm25,factual,B,answered_grounded_correct,0.0,False,
ref_fact_03,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_04,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_05,chunk500_bm25,500,bm25,factual,C,answered_grounded_correct,1.0,False,1.0000001192092896
ref_fact_06,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_07,chunk500_bm25,500,bm25,factual,C,answered_grounded_correct,1.0,False,0.9264767169952393
ref_fact_08,chunk500_bm25,500,bm25,factual,C,answered_grounded_correct,1.0,False,0.9802258014678955
ref_fact_09,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_10,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_11,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_12,chunk500_bm25,500,bm25,factual,B,abstained,0.0,True,
ref_fact_13,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_fact_14,chunk500_bm25,500,bm25,factual,B,abstained,0.0,False,
ref_them_01,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_02,chunk500_bm25,500,bm25,thematic,C,answered_grounded_offtarget,0.5,False,0.8303177952766418
ref_them_03,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_04,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_05,chunk500_bm25,500,bm25,thematic,B,abstained,0.0,False,
ref_them_06,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_07,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_08,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_09,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_10,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_11,chunk500_bm25,500,bm25,thematic,B,answered_grounded_correct,0.0,False,
ref_them_12,chunk500_bm25,500,bm25,thematic,B,abstained,0.0,False,
ref_them_13,chunk500_bm25,500,bm25,thematic,B,abstained,0.0,False,
ref_them_14,chunk500_bm25,500,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_15,chunk500_bm25,500,bm25,thematic,B,abstained,0.0,True,
ref_unans_01,chunk500_bm25,500,bm25,unanswerable,A,answered_ungrounded,,False,
ref_unans_02,chunk500_bm25,500,bm25,unanswerable,A,abstained,,False,
ref_unans_03,chunk500_bm25,500,bm25,unanswerable,A,abstained,,False,
ref_unans_05,chunk500_bm25,500,bm25,unanswerable,A,abstained,,False,
ref_unans_06,chunk500_bm25,500,bm25,unanswerable,A,abstained,,False,
ref_comp_01,chunk500_dense,500,dense,comparative,B,abstained,0.0,True,
ref_comp_02,chunk500_dense,500,dense,comparative,C,abstained,0.5,False,
ref_comp_03,chunk500_dense,500,dense,comparative,B,abstained,0.0,False,
ref_comp_04,chunk500_dense,500,dense,comparative,B,abstained,0.0,True,
ref_comp_06,chunk500_dense,500,dense,comparative,C,abstained,0.5,False,
ref_comp_07,chunk500_dense,500,dense,comparative,B,answered_grounded_correct,0.0,False,
ref_comp_08,chunk500_dense,500,dense,comparative,C,abstained,0.5,False,
ref_comp_09,chunk500_dense,500,dense,comparative,B,abstained,0.0,False,
ref_comp_10,chunk500_dense,500,dense,comparative,B,answered_grounded_correct,0.0,False,
ref_comp_11,chunk500_dense,500,dense,comparative,C,abstained,0.5,False,
ref_comp_12,chunk500_dense,500,dense,comparative,B,abstained,0.0,False,
ref_fact_01,chunk500_dense,500,dense,factual,B,abstained,0.0,True,
ref_fact_02,chunk500_dense,500,dense,factual,B,answered_grounded_correct,0.0,False,
ref_fact_03,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_04,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_05,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_06,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_07,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_08,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_09,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_10,chunk500_dense,500,dense,factual,C,answered_grounded_correct,1.0,False,0.9713050127029419
ref_fact_11,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_12,chunk500_dense,500,dense,factual,B,abstained,0.0,True,
ref_fact_13,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_fact_14,chunk500_dense,500,dense,factual,B,abstained,0.0,False,
ref_them_01,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_02,chunk500_dense,500,dense,thematic,C,answered_grounded_correct,0.5,False,0.8446937203407288
ref_them_03,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_04,chunk500_dense,500,dense,thematic,C,answered_grounded_correct,0.5,True,0.7182656526565552
ref_them_05,chunk500_dense,500,dense,thematic,B,abstained,0.0,False,
ref_them_06,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_07,chunk500_dense,500,dense,thematic,C,answered_grounded_correct,0.5,False,0.6841710805892944
ref_them_08,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_09,chunk500_dense,500,dense,thematic,B,abstained,0.0,False,
ref_them_10,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_11,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_12,chunk500_dense,500,dense,thematic,B,abstained,0.0,False,
ref_them_13,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_14,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_15,chunk500_dense,500,dense,thematic,B,answered_grounded_offtarget,0.0,True,
ref_unans_01,chunk500_dense,500,dense,unanswerable,A,abstained,,False,
ref_unans_02,chunk500_dense,500,dense,unanswerable,A,abstained,,False,
ref_unans_03,chunk500_dense,500,dense,unanswerable,A,abstained,,False,
ref_unans_05,chunk500_dense,500,dense,unanswerable,A,abstained,,False,
ref_unans_06,chunk500_dense,500,dense,unanswerable,A,abstained,,False,
ref_comp_01,chunk500_hybrid,500,hybrid,comparative,B,abstained,0.0,True,
ref_comp_02,chunk500_hybrid,500,hybrid,comparative,C,abstained,0.5,False,
ref_comp_03,chunk500_hybrid,500,hybrid,comparative,B,abstained,0.0,False,
ref_comp_04,chunk500_hybrid,500,hybrid,comparative,B,abstained,0.0,True,
ref_comp_06,chunk500_hybrid,500,hybrid,comparative,C,answered_grounded_correct,0.5,False,0.8560937643051147
ref_comp_07,chunk500_hybrid,500,hybrid,comparative,B,abstained,0.0,False,
ref_comp_08,chunk500_hybrid,500,hybrid,comparative,C,abstained,0.5,False,
ref_comp_09,chunk500_hybrid,500,hybrid,comparative,B,abstained,0.0,False,
ref_comp_10,chunk500_hybrid,500,hybrid,comparative,B,answered_grounded_offtarget,0.0,False,
ref_comp_11,chunk500_hybrid,500,hybrid,comparative,C,abstained,0.5,False,
ref_comp_12,chunk500_hybrid,500,hybrid,comparative,B,abstained,0.0,False,
ref_fact_01,chunk500_hybrid,500,hybrid,factual,C,answered_grounded_correct,1.0,True,0.9435728192329407
ref_fact_02,chunk500_hybrid,500,hybrid,factual,B,answered_grounded_correct,0.0,False,
ref_fact_03,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_04,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_05,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_06,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_07,chunk500_hybrid,500,hybrid,factual,C,answered_grounded_correct,1.0,False,0.9264798164367676
ref_fact_08,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_09,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_10,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_11,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_12,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,True,
ref_fact_13,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_fact_14,chunk500_hybrid,500,hybrid,factual,B,abstained,0.0,False,
ref_them_01,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_02,chunk500_hybrid,500,hybrid,thematic,C,answered_grounded_correct,0.5,False,0.8213786482810974
ref_them_03,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_04,chunk500_hybrid,500,hybrid,thematic,C,answered_grounded_correct,0.5,True,0.7354834675788879
ref_them_05,chunk500_hybrid,500,hybrid,thematic,B,abstained,0.0,False,
ref_them_06,chunk500_hybrid,500,hybrid,thematic,C,answered_grounded_correct,0.5,False,0.7148631811141968
ref_them_07,chunk500_hybrid,500,hybrid,thematic,B,abstained,0.0,False,
ref_them_08,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_09,chunk500_hybrid,500,hybrid,thematic,B,abstained,0.0,False,
ref_them_10,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_11,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_12,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_13,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_14,chunk500_hybrid,500,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_15,chunk500_hybrid,500,hybrid,thematic,B,answered_ungrounded,0.0,True,
ref_unans_01,chunk500_hybrid,500,hybrid,unanswerable,A,abstained,,False,
ref_unans_02,chunk500_hybrid,500,hybrid,unanswerable,A,abstained,,False,
ref_unans_03,chunk500_hybrid,500,hybrid,unanswerable,A,abstained,,False,
ref_unans_05,chunk500_hybrid,500,hybrid,unanswerable,A,abstained,,False,
ref_unans_06,chunk500_hybrid,500,hybrid,unanswerable,A,abstained,,False,
