model,family,scope,a,b,case,outcome,n_matched,win,loss,tie,n_disc,p,testable,p_holm
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_correct,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_correct,4,1,0,3,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_correct,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_offtarget,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_offtarget,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_offtarget,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_offtarget,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_offtarget,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_offtarget,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,B,answered_ungrounded,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,B,answered_ungrounded,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_ungrounded,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,B,answered_ungrounded,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,B,answered_ungrounded,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_ungrounded,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,C,abstained,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,C,abstained,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,C,abstained,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,C,abstained,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,C,abstained,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_correct,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,C,answered_grounded_correct,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_correct,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_correct,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_correct,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_offtarget,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,C,answered_grounded_offtarget,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_offtarget,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_offtarget,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_offtarget,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,C,answered_ungrounded,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,C,answered_ungrounded,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_ungrounded,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,C,answered_ungrounded,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_ungrounded,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,B,abstained,13,0,1,12,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,B,abstained,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,B,abstained,11,1,3,7,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,B,abstained,14,1,2,11,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,B,abstained,11,0,2,9,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,B,abstained,10,1,1,8,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_correct,13,3,0,10,3,0.25,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_correct,11,1,1,9,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_correct,11,3,0,8,3,0.25,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_correct,14,0,0,14,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_correct,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_correct,10,1,0,9,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_offtarget,13,1,3,9,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_offtarget,11,1,1,9,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_offtarget,11,2,4,5,6,0.6875,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_offtarget,14,2,1,11,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_offtarget,11,1,1,9,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_offtarget,10,2,2,6,4,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,B,answered_ungrounded,13,0,0,13,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,B,answered_ungrounded,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_ungrounded,11,1,0,10,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,B,answered_ungrounded,14,0,0,14,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,B,answered_ungrounded,11,2,0,9,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_ungrounded,10,0,1,9,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,C,abstained,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,C,abstained,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_correct,1,1,0,0,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,C,answered_grounded_correct,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_correct,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_offtarget,1,0,1,0,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,C,answered_grounded_offtarget,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_offtarget,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_bm25_enriched,chunk200_bm25,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_dense_enriched,chunk200_dense,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_bm25_enriched,chunk500_bm25,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_dense_enriched,chunk500_dense,C,answered_ungrounded,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,thematic (n=15),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_ungrounded,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_bm25_enriched,chunk200_bm25,B,abstained,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_dense_enriched,chunk200_dense,B,abstained,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_hybrid_enriched,chunk200_hybrid,B,abstained,5,0,0,5,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_bm25_enriched,chunk500_bm25,B,abstained,6,0,0,6,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_dense_enriched,chunk500_dense,B,abstained,6,1,2,3,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_hybrid_enriched,chunk500_hybrid,B,abstained,5,1,0,4,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_correct,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_correct,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_correct,5,0,0,5,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_correct,6,0,0,6,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_correct,6,1,1,4,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_correct,5,0,0,5,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_offtarget,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_offtarget,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_offtarget,5,0,0,5,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_offtarget,6,0,0,6,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_offtarget,6,1,0,5,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_offtarget,5,0,1,4,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_bm25_enriched,chunk200_bm25,B,answered_ungrounded,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_dense_enriched,chunk200_dense,B,answered_ungrounded,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_ungrounded,5,0,0,5,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,comparative (n=11),chunk500_bm25_enriched,chunk500_bm25,B,answered_ungrounded,6,0,0,6,0,,False,
